Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;2;1;4;6;2;4;5;4;3;4;2;4;41;2023;Ribeirão Preto;Orlândia
LESÃO CORPORAL CULPOSA - OUTRAS;0;1;0;0;0;0;0;1;0;0;0;0;2;2023;Ribeirão Preto;Orlândia
LATROCÍNIO;0;0;0;0;1;0;0;1;0;0;0;0;2;2023;Ribeirão Preto;Orlândia
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;1;0;0;1;0;0;0;0;2;2023;Ribeirão Preto;Orlândia
TOTAL DE ESTUPRO (4);0;0;3;1;1;1;2;1;2;1;2;3;17;2023;Ribeirão Preto;Orlândia
ESTUPRO;0;0;1;1;0;1;0;0;1;0;1;1;6;2023;Ribeirão Preto;Orlândia
ESTUPRO DE VULNERÁVEL;0;0;2;0;1;0;2;1;1;1;1;2;11;2023;Ribeirão Preto;Orlândia
TOTAL DE ROUBO - OUTROS (1);4;6;6;4;3;5;3;5;1;0;1;2;40;2023;Ribeirão Preto;Orlândia
ROUBO - OUTROS;4;6;5;4;1;5;3;5;0;0;0;2;35;2023;Ribeirão Preto;Orlândia
ROUBO DE VEÍCULO;1;2;3;3;1;2;0;1;0;1;0;0;14;2023;Ribeirão Preto;Orlândia
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Orlândia
ROUBO DE CARGA;0;0;1;0;2;0;0;0;1;0;1;0;5;2023;Ribeirão Preto;Orlândia
FURTO - OUTROS;25;27;24;20;17;23;35;24;23;16;12;20;266;2023;Ribeirão Preto;Orlândia
FURTO DE VEÍCULO;1;0;2;1;4;2;2;4;1;1;3;2;23;2023;Ribeirão Preto;Orlândia
HOMICÍDIO DOLOSO (2);0;1;1;0;0;0;0;0;0;0;0;0;2;2023;Ribeirão Preto;Patrocínio Paulista
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;2;1;0;0;0;0;0;0;0;0;0;3;2023;Ribeirão Preto;Patrocínio Paulista
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Patrocínio Paulista
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Patrocínio Paulista
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;1;0;0;0;0;2;1;0;0;0;0;4;2023;Ribeirão Preto;Patrocínio Paulista
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Patrocínio Paulista
TENTATIVA DE HOMICÍDIO;0;0;0;1;0;0;0;0;0;0;0;0;1;2023;Ribeirão Preto;Patrocínio Paulista
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Patrocínio Paulista
LESÃO CORPORAL DOLOSA;5;3;5;2;6;5;4;7;7;9;9;5;67;2023;Ribeirão Preto;Patrocínio Paulista
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;1;3;0;4;2;0;2;2;0;2;1;2;19;2023;Ribeirão Preto;Patrocínio Paulista
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Patrocínio Paulista
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Patrocínio Paulista
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Patrocínio Paulista
TOTAL DE ESTUPRO (4);0;0;1;1;0;0;0;0;0;0;0;0;2;2023;Ribeirão Preto;Patrocínio Paulista
ESTUPRO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Patrocínio Paulista
ESTUPRO DE VULNERÁVEL;0;0;1;1;0;0;0;0;0;0;0;0;2;2023;Ribeirão Preto;Patrocínio Paulista
TOTAL DE ROUBO - OUTROS (1);1;1;1;1;0;1;0;0;0;0;0;0;5;2023;Ribeirão Preto;Patrocínio Paulista
ROUBO - OUTROS;1;1;1;1;0;1;0;0;0;0;0;0;5;2023;Ribeirão Preto;Patrocínio Paulista
ROUBO DE VEÍCULO;1;0;0;0;0;0;0;0;0;0;0;0;1;2023;Ribeirão Preto;Patrocínio Paulista
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Patrocínio Paulista
ROUBO DE CARGA;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Patrocínio Paulista
FURTO - OUTROS;10;4;14;22;21;13;26;12;12;16;11;9;170;2023;Ribeirão Preto;Patrocínio Paulista
FURTO DE VEÍCULO;0;0;1;0;1;0;0;2;2;0;1;2;9;2023;Ribeirão Preto;Patrocínio Paulista
HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;0;0;0;1;0;0;1;2023;Ribeirão Preto;Pedregulho
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;0;0;0;1;0;0;1;2023;Ribeirão Preto;Pedregulho
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Pedregulho
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Pedregulho
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;1;0;0;2;2;0;0;0;0;5;2023;Ribeirão Preto;Pedregulho
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Pedregulho
TENTATIVA DE HOMICÍDIO;0;0;1;0;1;0;0;0;0;0;0;1;3;2023;Ribeirão Preto;Pedregulho
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Pedregulho
LESÃO CORPORAL DOLOSA;2;5;3;2;4;4;8;8;7;4;8;6;61;2023;Ribeirão Preto;Pedregulho
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;2;1;1;1;2;4;2;4;1;0;0;1;19;2023;Ribeirão Preto;Pedregulho
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;1;1;0;0;0;0;0;0;0;0;2;2023;Ribeirão Preto;Pedregulho
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Pedregulho
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Pedregulho
TOTAL DE ESTUPRO (4);1;1;0;0;0;1;1;1;1;2;2;0;10;2023;Ribeirão Preto;Pedregulho
ESTUPRO;0;1;0;0;0;0;0;0;1;0;0;0;2;2023;Ribeirão Preto;Pedregulho
ESTUPRO DE VULNERÁVEL;1;0;0;0;0;1;1;1;0;2;2;0;8;2023;Ribeirão Preto;Pedregulho
TOTAL DE ROUBO - OUTROS (1);0;0;0;0;0;1;1;0;1;2;0;0;5;2023;Ribeirão Preto;Pedregulho
ROUBO - OUTROS;0;0;0;0;0;1;0;0;1;2;0;0;4;2023;Ribeirão Preto;Pedregulho
ROUBO DE VEÍCULO;0;0;0;0;0;0;0;0;1;0;2;1;4;2023;Ribeirão Preto;Pedregulho
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Pedregulho
ROUBO DE CARGA;0;0;0;0;0;0;1;0;0;0;0;0;1;2023;Ribeirão Preto;Pedregulho
FURTO - OUTROS;12;14;18;25;18;16;11;7;10;18;8;11;168;2023;Ribeirão Preto;Pedregulho
FURTO DE VEÍCULO;2;1;0;0;1;0;0;1;0;0;1;0;6;2023;Ribeirão Preto;Pedregulho
HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Pirangi
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Pirangi
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Pirangi
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Pirangi
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;1;0;1;2023;Ribeirão Preto;Pirangi
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Pirangi
TENTATIVA DE HOMICÍDIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Pirangi
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Pirangi
LESÃO CORPORAL DOLOSA;2;2;1;3;0;3;3;3;1;2;1;6;27;2023;Ribeirão Preto;Pirangi
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;1;0;0;0;1;1;0;0;0;0;0;0;3;2023;Ribeirão Preto;Pirangi
LESÃO CORPORAL CULPOSA - OUTRAS;0;1;0;0;0;0;0;0;0;0;0;0;1;2023;Ribeirão Preto;Pirangi
LATROCÍNIO;0;0;0;0;0;0;1;0;0;0;0;0;1;2023;Ribeirão Preto;Pirangi
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;1;0;0;0;0;0;1;2023;Ribeirão Preto;Pirangi
TOTAL DE ESTUPRO (4);1;0;0;0;1;0;0;1;1;0;0;1;5;2023;Ribeirão Preto;Pirangi
ESTUPRO;0;0;0;0;1;0;0;0;1;0;0;1;3;2023;Ribeirão Preto;Pirangi
ESTUPRO DE VULNERÁVEL;1;0;0;0;0;0;0;1;0;0;0;0;2;2023;Ribeirão Preto;Pirangi
TOTAL DE ROUBO - OUTROS (1);1;0;0;1;2;4;0;0;0;0;1;1;10;2023;Ribeirão Preto;Pirangi
ROUBO - OUTROS;1;0;0;1;2;4;0;0;0;0;1;1;10;2023;Ribeirão Preto;Pirangi
ROUBO DE VEÍCULO;1;0;1;1;1;0;0;0;1;0;0;0;5;2023;Ribeirão Preto;Pirangi
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Pirangi
ROUBO DE CARGA;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Pirangi
FURTO - OUTROS;4;7;6;1;8;4;5;15;8;9;3;5;75;2023;Ribeirão Preto;Pirangi
FURTO DE VEÍCULO;0;1;1;0;0;1;1;1;0;2;3;1;11;2023;Ribeirão Preto;Pirangi
HOMICÍDIO DOLOSO (2);1;0;0;0;0;0;0;0;1;0;0;0;2;2023;Ribeirão Preto;Pitangueiras
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);1;0;0;0;0;0;0;0;1;0;0;0;2;2023;Ribeirão Preto;Pitangueiras
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Pitangueiras
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Pitangueiras
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;1;0;1;2023;Ribeirão Preto;Pitangueiras
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Pitangueiras
TENTATIVA DE HOMICÍDIO;0;0;0;0;1;0;0;0;0;0;0;0;1;2023;Ribeirão Preto;Pitangueiras
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Pitangueiras
LESÃO CORPORAL DOLOSA;5;7;12;6;10;12;12;13;11;12;14;16;130;2023;Ribeirão Preto;Pitangueiras
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;1;1;1;2;3;3;4;1;2;3;3;0;24;2023;Ribeirão Preto;Pitangueiras
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;1;1;0;0;0;1;0;0;0;0;3;2023;Ribeirão Preto;Pitangueiras
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Pitangueiras
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Pitangueiras
TOTAL DE ESTUPRO (4);0;0;1;1;2;0;0;3;0;0;1;1;9;2023;Ribeirão Preto;Pitangueiras
ESTUPRO;0;0;0;0;1;0;0;0;0;0;0;0;1;2023;Ribeirão Preto;Pitangueiras
ESTUPRO DE VULNERÁVEL;0;0;1;1;1;0;0;3;0;0;1;1;8;2023;Ribeirão Preto;Pitangueiras
TOTAL DE ROUBO - OUTROS (1);1;5;5;0;4;3;3;4;1;5;2;2;35;2023;Ribeirão Preto;Pitangueiras
ROUBO - OUTROS;1;5;5;0;4;3;3;4;1;5;2;2;35;2023;Ribeirão Preto;Pitangueiras
ROUBO DE VEÍCULO;0;0;2;0;0;0;1;0;1;0;2;0;6;2023;Ribeirão Preto;Pitangueiras
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Pitangueiras
ROUBO DE CARGA;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Pitangueiras
FURTO - OUTROS;32;26;32;36;32;23;29;30;18;20;38;18;334;2023;Ribeirão Preto;Pitangueiras
FURTO DE VEÍCULO;1;1;3;2;1;0;1;3;1;0;2;1;16;2023;Ribeirão Preto;Pitangueiras
HOMICÍDIO DOLOSO (2);0;1;0;0;0;0;0;0;0;0;0;1;2;2023;Ribeirão Preto;Pontal
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;1;0;0;0;0;0;0;0;0;0;1;2;2023;Ribeirão Preto;Pontal
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Pontal
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Pontal
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;1;0;0;1;1;2;1;0;0;1;7;2023;Ribeirão Preto;Pontal
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Pontal
TENTATIVA DE HOMICÍDIO;1;0;1;1;0;0;1;0;0;0;0;2;6;2023;Ribeirão Preto;Pontal
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Pontal
LESÃO CORPORAL DOLOSA;9;5;11;8;5;10;5;7;8;13;5;6;92;2023;Ribeirão Preto;Pontal
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;0;0;1;3;4;2;0;7;1;2;2;1;23;2023;Ribeirão Preto;Pontal
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;1;0;0;1;0;0;0;2;2023;Ribeirão Preto;Pontal
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Pontal
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Pontal
TOTAL DE ESTUPRO (4);0;1;2;0;0;0;0;1;0;0;1;1;6;2023;Ribeirão Preto;Pontal
ESTUPRO;0;0;1;0;0;0;0;0;0;0;0;0;1;2023;Ribeirão Preto;Pontal
ESTUPRO DE VULNERÁVEL;0;1;1;0;0;0;0;1;0;0;1;1;5;2023;Ribeirão Preto;Pontal
TOTAL DE ROUBO - OUTROS (1);2;4;1;0;9;4;3;1;2;3;2;0;31;2023;Ribeirão Preto;Pontal
ROUBO - OUTROS;2;4;1;0;7;4;3;1;2;3;2;0;29;2023;Ribeirão Preto;Pontal
ROUBO DE VEÍCULO;0;0;1;2;0;0;2;0;0;0;0;0;5;2023;Ribeirão Preto;Pontal
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Pontal
ROUBO DE CARGA;0;0;0;0;2;0;0;0;0;0;0;0;2;2023;Ribeirão Preto;Pontal
FURTO - OUTROS;25;16;29;18;20;30;17;21;14;20;18;17;245;2023;Ribeirão Preto;Pontal
FURTO DE VEÍCULO;3;2;2;0;2;2;2;0;2;6;7;3;31;2023;Ribeirão Preto;Pontal
HOMICÍDIO DOLOSO (2);1;0;0;0;1;0;0;0;0;0;1;1;4;2023;Ribeirão Preto;Porto Ferreira
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);1;0;0;0;1;0;0;0;0;0;1;1;4;2023;Ribeirão Preto;Porto Ferreira
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Porto Ferreira
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Porto Ferreira
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;2;1;2;0;1;3;1;0;0;10;2023;Ribeirão Preto;Porto Ferreira
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Porto Ferreira
TENTATIVA DE HOMICÍDIO;1;1;0;0;0;0;0;0;1;1;0;0;4;2023;Ribeirão Preto;Porto Ferreira
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Porto Ferreira
LESÃO CORPORAL DOLOSA;14;15;20;14;18;11;15;16;24;27;24;25;223;2023;Ribeirão Preto;Porto Ferreira
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;1;3;2;0;6;4;1;3;1;4;4;6;35;2023;Ribeirão Preto;Porto Ferreira
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Porto Ferreira
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Porto Ferreira
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Porto Ferreira
TOTAL DE ESTUPRO (4);1;0;0;2;0;0;2;2;1;0;2;2;12;2023;Ribeirão Preto;Porto Ferreira
ESTUPRO;0;0;0;1;0;0;1;1;1;0;0;0;4;2023;Ribeirão Preto;Porto Ferreira
ESTUPRO DE VULNERÁVEL;1;0;0;1;0;0;1;1;0;0;2;2;8;2023;Ribeirão Preto;Porto Ferreira
TOTAL DE ROUBO - OUTROS (1);5;5;8;6;2;4;5;3;5;2;8;7;60;2023;Ribeirão Preto;Porto Ferreira
ROUBO - OUTROS;3;4;6;6;1;4;5;3;3;2;6;6;49;2023;Ribeirão Preto;Porto Ferreira
ROUBO DE VEÍCULO;1;0;4;2;2;2;0;4;2;5;7;5;34;2023;Ribeirão Preto;Porto Ferreira
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Porto Ferreira
ROUBO DE CARGA;2;1;2;0;1;0;0;0;2;0;2;1;11;2023;Ribeirão Preto;Porto Ferreira
FURTO - OUTROS;23;25;16;26;28;40;26;45;29;34;38;35;365;2023;Ribeirão Preto;Porto Ferreira
FURTO DE VEÍCULO;6;3;5;2;6;6;4;6;4;3;3;6;54;2023;Ribeirão Preto;Porto Ferreira
HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;0;1;0;0;0;0;1;2023;Ribeirão Preto;Pradópolis
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;0;1;0;0;0;0;1;2023;Ribeirão Preto;Pradópolis
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Pradópolis
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Pradópolis
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;1;1;0;0;0;1;0;0;1;0;1;5;2023;Ribeirão Preto;Pradópolis
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Pradópolis
TENTATIVA DE HOMICÍDIO;0;1;0;0;0;0;0;0;0;0;0;0;1;2023;Ribeirão Preto;Pradópolis
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Pradópolis
LESÃO CORPORAL DOLOSA;8;8;5;5;6;12;4;7;3;6;8;6;78;2023;Ribeirão Preto;Pradópolis
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;0;2;2;1;3;1;5;1;2;4;3;3;27;2023;Ribeirão Preto;Pradópolis
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;1;0;1;0;1;3;2023;Ribeirão Preto;Pradópolis
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Pradópolis
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Pradópolis
TOTAL DE ESTUPRO (4);0;1;1;0;0;1;0;0;2;0;1;0;6;2023;Ribeirão Preto;Pradópolis
ESTUPRO;0;0;0;0;0;1;0;0;0;0;0;0;1;2023;Ribeirão Preto;Pradópolis
ESTUPRO DE VULNERÁVEL;0;1;1;0;0;0;0;0;2;0;1;0;5;2023;Ribeirão Preto;Pradópolis
TOTAL DE ROUBO - OUTROS (1);1;2;1;1;0;3;1;0;0;1;1;1;12;2023;Ribeirão Preto;Pradópolis
ROUBO - OUTROS;1;2;1;0;0;3;1;0;0;1;1;1;11;2023;Ribeirão Preto;Pradópolis
ROUBO DE VEÍCULO;2;1;0;0;0;1;1;1;1;0;1;1;9;2023;Ribeirão Preto;Pradópolis
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Pradópolis
ROUBO DE CARGA;0;0;0;1;0;0;0;0;0;0;0;0;1;2023;Ribeirão Preto;Pradópolis
FURTO - OUTROS;4;5;8;6;12;10;12;7;4;6;5;7;86;2023;Ribeirão Preto;Pradópolis
FURTO DE VEÍCULO;0;2;2;0;1;2;2;2;1;0;0;1;13;2023;Ribeirão Preto;Pradópolis
HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Restinga
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Restinga
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Restinga
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Restinga
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Restinga
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Restinga
TENTATIVA DE HOMICÍDIO;1;0;0;0;0;0;0;0;0;0;0;0;1;2023;Ribeirão Preto;Restinga
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Restinga
LESÃO CORPORAL DOLOSA;5;4;1;3;2;0;2;7;5;6;4;0;39;2023;Ribeirão Preto;Restinga
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;0;1;2;0;0;0;1;1;2;1;0;1;9;2023;Ribeirão Preto;Restinga
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Restinga
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Restinga
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Restinga
TOTAL DE ESTUPRO (4);0;0;0;0;1;1;0;0;0;0;0;0;2;2023;Ribeirão Preto;Restinga
ESTUPRO;0;0;0;0;1;0;0;0;0;0;0;0;1;2023;Ribeirão Preto;Restinga
ESTUPRO DE VULNERÁVEL;0;0;0;0;0;1;0;0;0;0;0;0;1;2023;Ribeirão Preto;Restinga
TOTAL DE ROUBO - OUTROS (1);0;0;0;2;0;0;0;0;0;0;0;1;3;2023;Ribeirão Preto;Restinga
ROUBO - OUTROS;0;0;0;2;0;0;0;0;0;0;0;1;3;2023;Ribeirão Preto;Restinga
ROUBO DE VEÍCULO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Restinga
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Restinga
ROUBO DE CARGA;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Restinga
FURTO - OUTROS;11;8;7;5;4;7;6;6;7;6;5;0;72;2023;Ribeirão Preto;Restinga
FURTO DE VEÍCULO;0;0;0;0;0;0;0;0;0;0;1;0;1;2023;Ribeirão Preto;Restinga
HOMICÍDIO DOLOSO (2);0;0;0;0;0;1;0;0;0;0;0;0;1;2023;Ribeirão Preto;Ribeirão Bonito
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;1;0;0;0;0;0;0;1;2023;Ribeirão Preto;Ribeirão Bonito
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Ribeirão Bonito
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Ribeirão Bonito
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Ribeirão Bonito
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Ribeirão Bonito
TENTATIVA DE HOMICÍDIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Ribeirão Preto;Ribeirão Bonito
